,year,movie name,worldwide box office,domestic box office,international box office
82,1992,Lethal Weapon 3,"319,700,000,","144,731,527,","174,968,473,"
83,2012,Journey 2: The Mysterious Island,"318,146,162,","103,860,290,","214,285,872,"
84,2013,The Conjuring,"317,744,402,","137,400,141,","180,344,261,"
85,2004,The Polar Express,"312,719,437,","188,578,855,","124,140,582,"
86,2007,Ocean's Thirteen,"311,744,465,","117,144,465,","194,600,000,"
87,2017,The Lego Batman Movie,"310,570,560,","175,750,384,","134,820,176,"
88,2016,The Conjuring 2: The Enfield Poltergeist,"310,201,399,","102,470,008,","207,731,391,"
89,2009,The Blind Side,"305,705,794,","255,959,475,","49,746,319,"
90,2017,Annabelle: Creation,"305,384,865,","102,092,201,","203,292,664,"
91,2012,Wrath of the Titans,"305,270,083,","83,670,083,","221,600,000,"
92,1978,Superman,"300,200,000,","134,218,018,","165,981,982,"
93,2018,Oceanâ€™s 8,"297,718,711,","140,218,711,","157,500,000,"
94,2010,Sex and the City 2,"294,680,778,","95,347,692,","199,333,086,"
95,1999,The Green Mile,"290,701,374,","136,801,374,","153,900,000,"
96,2006,The Departed,"289,660,619,","132,384,315,","157,276,304,"
97,1998,Lethal Weapon 4,"285,400,000,","130,444,603,","154,955,397,"
98,2002,Scooby-Doo,"276,294,164,","153,294,164,","123,000,000,"
99,2008,Gran Torino,"274,543,085","148,095,302","126,447,783"
