,year,movie name,worldwide box office,domestic box office,international box office
85,1993,Sleepless in Seattle,"227,899,326,","126,680,884,","101,218,442,"
86,2017,Baby Driver,"227,250,102,","107,825,862,","119,424,240,"
87,2003,Charlie's Angels: Full Throttle,"227,163,273,","100,814,328,","126,348,945,"
88,2010,The Social Network,"224,922,135,","96,962,694,","127,959,441,"
89,2013,Captain Phillips,"220,648,184,","107,136,417,","113,511,767,"
90,2016,Inferno,"219,519,367,","34,343,574,","185,175,793,"
91,2019,Little Women,"218,895,434,","108,095,955,","110,799,479,"
92,2017,The Emoji Movie,"216,564,840,","86,089,513,","130,475,327,"
93,1992,Bram Stoker's Dracula,"215,862,692,","82,522,790,","133,339,902,"
94,1989,Ghostbusters II,"215,500,000,","112,494,738,","103,005,262,"
95,2011,Bad Teacher,"215,448,997,","100,292,856,","115,156,141,"
96,2000,The Patriot,"215,300,000,","113,330,342,","101,969,658,"
97,2011,Just Go With It,"214,974,953,","103,028,109,","111,946,844,"
98,2000,Vertical Limit,"213,500,000,","68,473,360,","145,026,640,"
99,2011,Battle: Los Angeles,"213,463,976","83,552,429","129,911,547"
